,Adams County,Alcorn County,Amite County,Attala County,Benton County,Bolivar County,Calhoun County,Carroll County,Chickasaw County,Choctaw County,Claiborne County,Clarke County,Clay County,Coahoma County,Copiah County,Covington County,DeSoto County,Forrest County,Franklin County,George County,Greene County,Grenada County,Hancock County,Harrison County,Hinds County,Holmes County,Humphreys County,Issaquena County,Itawamba County,Jackson County,Jasper County,Jefferson County,Jefferson Davis County,Jones County,Kemper County,Lafayette County,Lamar County,Lauderdale County,Lawrence County,Leake County,Lee County,Leflore County,Lincoln County,Lowndes County,Madison County,Marion County,Marshall County,Monroe County,Montgomery County,Neshoba County,Newton County,Noxubee County,Oktibbeha County,Panola County,Pearl River County,Perry County,Pike County,Pontotoc County,Prentiss County,Quitman County,Rankin County,Scott County,Sharkey County,Simpson County,Smith County,Stone County,Sunflower County,Tallahatchie County,Tate County,Tippah County,Tishomingo County,Tunica County,Union County,Walthall County,Warren County,Washington County,Wayne County,Webster County,Wilkinson County,Winston County,Yalobusha County,Yazoo County
Planting Seeds Outreach Ministry,132.196705,262.1872382,121.1618723,82.3152015,223.3037079,140.1669732,154.6650487,87.57714925,175.9219736,119.4750235,72.07078626,108.5793926,167.4460229,153.8308733,52.09386552,86.19729307,181.6699208,134.4357235,105.6965504,193.5713045,169.3076023,116.483344,176.7055119,198.6202299,24.28216144,55.26290833,73.9038032,74.24861353,233.9460735,222.7411233,84.92223661,96.06902793,74.65286126,109.5640337,114.3354535,174.9163138,118.3917684,89.29162297,59.24104005,62.85665528,216.3619478,89.85421276,75.67105851,174.553701,24.99913648,98.09915509,201.6517847,200.8409198,108.2537001,86.52227692,62.34695086,142.6238694,146.108045,148.7917447,143.87039,151.3346762,97.41643968,191.5455134,247.8051358,137.4075955,19.46793872,38.28088706,73.47218361,45.24196376,62.25845714,170.473376,110.0019227,110.0386874,168.8229709,235.869183,272.0644368,169.7836669,211.5280749,86.98321861,41.95942768,108.9071389,136.1770815,135.5299756,152.0913962,114.2041467,139.6383912,42.40366993
Jackson Revival Church,124.0519126,270.1973363,113.0054304,90.39803021,231.3165008,141.2933391,162.7138737,95.64560141,183.971398,127.547478,63.94464655,107.5220448,175.5061079,154.9747653,43.9637099,85.15560277,189.680351,133.4107809,97.55150719,192.5584807,168.2816532,124.5389091,175.7100434,197.6239207,16.16728315,63.34427899,75.0034672,75.33305123,241.9808388,221.7430536,83.86578485,87.93374547,73.6135926,108.5227243,122.4312579,182.9480621,117.3661968,97.40108711,58.20251196,70.95257627,224.3963533,90.97066016,67.52808871,182.6210607,33.09971996,97.07266546,209.6668737,208.8914418,116.320322,94.61817136,70.45661663,150.7056675,154.1773723,156.8232177,142.8611201,150.3103445,89.26000455,199.5825857,255.8260629,138.5523527,18.40209194,46.39034282,74.56203891,44.18961395,61.20208673,169.4632914,111.1204503,115.606751,176.8426933,243.8839695,280.0802868,170.9447833,219.5543107,85.95982222,41.03047288,110.0129732,135.1350367,143.5918162,143.9344871,122.2868506,147.683522,43.48960912
"Neighborhood Christian Center Of Jackson, Emergency Food",125.6439079,268.6403546,114.6004536,88.82214251,229.7588184,141.5257114,161.1468251,94.07345059,182.4041937,125.9742871,65.53179309,107.2717329,173.9361326,155.2025818,45.55190013,84.90122053,188.1232823,133.1520454,99.1435675,192.2965953,168.0231796,122.9701082,175.4436463,197.3577423,17.75150219,61.76877006,75.24278021,75.57632236,240.4174453,221.477333,83.6152399,89.52326862,73.35858077,108.2682432,120.8519977,181.3854523,117.1076247,95.81827621,57.9473075,69.37328539,222.8330532,91.20561039,69.11960986,181.0491945,31.51921688,96.81433185,208.1085943,207.3239524,114.7486471,93.03888757,68.87375311,149.1300481,152.6049945,155.2606792,142.5983105,150.0514503,90.85502584,198.0185921,254.2662664,138.7799441,18.15398876,44.80753371,74.80390172,43.93800239,60.95152046,169.2006938,111.3548599,114.0398417,175.2832092,242.325769,278.5218102,171.1681223,217.993134,85.70068443,41.27763596,110.2506825,134.880747,142.0213843,145.529632,120.7109956,146.1174334,43.73248968
First Hyde Park MB Church,126.1669982,268.0698759,115.1194458,88.27725179,229.1892882,138.5334812,160.5899714,93.52350232,181.8475507,125.4257465,66.06144575,110.2882427,173.3832399,152.2165176,46.08014026,87.92323935,187.5529215,136.179956,99.66656975,195.328769,171.0507357,122.4156261,178.4819263,200.3957263,18.28511702,61.22336675,72.24115635,72.56934145,239.8556446,224.5146974,86.63206522,90.0497047,76.38145172,111.2903958,120.3116713,180.8225909,120.1353142,95.28275543,60.97043918,68.8330006,222.2711261,88.20989123,69.64334186,180.4988609,30.98057275,99.84169857,207.5398721,206.7676951,114.1980547,92.49859316,68.33830358,148.5847941,152.0553534,154.6977214,145.6317351,153.0795757,91.37402067,197.4576035,253.6995974,135.7941845,21.16750939,44.27201058,71.79882688,46.95627134,63.96837466,172.2338315,108.3598724,113.4827995,174.7161175,241.7569399,277.9533548,168.188118,217.428333,88.72913956,38.26538761,107.2512291,137.9026405,141.4691096,146.0484595,120.1660606,145.5592803,40.72603742
Southside Baptist Church Food Pantry,121.5140999,272.6930378,110.4639762,92.91647007,233.8130454,141.6370299,165.221683,98.15954716,186.4793943,130.0626743,61.41266542,107.1999285,178.0174368,155.3239354,41.43047373,84.83838223,192.1761578,133.0987958,95.01361641,192.2502837,167.9693529,127.0488259,175.4072729,197.320887,13.63882302,65.86226353,75.33881072,75.66363421,244.4842517,221.4394691,83.54394913,85.39890599,73.29712939,108.2056225,124.9537534,185.4505329,117.0540153,99.92785295,57.88628052,73.47510902,226.899654,91.31125078,64.99084654,185.1346634,35.62371081,96.76019726,212.1641364,211.3997807,118.8336952,97.14069543,72.98344594,153.2237841,156.6915906,159.3256029,142.554035,149.9985502,86.71855286,202.0867204,258.3251498,138.9017936,18.07731989,48.91710688,74.89431573,43.86906134,60.8802768,169.1559512,111.4616909,118.114393,179.341405,246.381137,282.5777862,171.2993384,222.0550577,85.64832129,41.35637518,110.3502453,134.8177045,146.1036944,141.3928864,124.805251,150.1901767,43.82066208
Stewpot Community Services – Food Pantry and Community Kitchen,124.8685271,269.4067051,113.8242918,89.59336904,230.5253496,141.8305645,161.9157719,94.84371332,183.1731807,126.7448181,64.75766279,106.9715067,174.7058343,155.5086099,44.77750064,84.60204407,188.8896552,132.8539917,98.36816988,191.999354,167.7250584,123.7395069,175.1475687,197.0616083,16.97812692,62.53989889,75.54584324,75.87836456,241.1854495,221.1810809,83.31507377,88.74852537,73.05956669,107.9690923,121.6240941,182.1532543,116.8095288,96.59128835,57.64834309,70.14538965,223.6010332,91.50979864,68.34435128,181.8193839,32.29163377,96.51617449,208.8752794,208.0930129,115.5187871,93.81099001,69.64677881,149.9012055,153.3753158,156.0284628,142.3013076,149.7534376,90.07886453,198.786751,255.0333429,139.0860302,17.85319284,45.58054536,75.10630713,43.63811132,60.65135981,168.9036362,111.6591876,114.8087526,176.0502051,243.0924338,279.2885463,171.4753053,218.7605664,85.40273447,41.57867437,110.5541592,134.5815467,142.7912037,144.7534388,121.4822137,146.8861326,44.03463259
Wynndale Food Pantry,108.7274401,285.2986892,97.66166827,105.6198565,246.4223239,144.9933853,177.8793778,110.8436198,199.1378908,142.7521182,48.65107194,103.9362887,190.6902558,158.7038424,28.66348848,81.59578857,204.78227,129.8787027,82.22662349,189.0464688,164.747902,139.7155817,172.2267847,194.139266,14.47400502,78.56369572,78.65929169,78.96365211,257.1230454,218.2554787,80.28151722,72.62502682,70.05779199,104.9635372,137.6745658,198.085284,113.8330793,112.6670197,54.64794071,86.1960864,239.5379673,95.86843969,52.20664355,197.8172538,48.35095773,93.5380304,224.7765034,224.0597473,131.5153056,109.8616333,85.7228878,165.9257761,169.376829,171.9599887,139.3550035,146.7792756,73.91625768,214.7286205,270.9453511,144.8539372,28.02869393,61.65627044,78.2016146,40.61214829,57.61795773,165.9558209,114.8075173,130.7713735,191.9600021,258.9930914,295.1911628,174.7023911,234.6823969,82.43031316,44.63627634,113.679013,131.5746268,158.7788772,128.5899465,137.5084645,162.8429114,47.12270302
Sand Hill Missionary Baptist Church,108.9002405,284.5997193,97.78901899,105.2049709,245.7339268,117.4149887,177.3316935,110.3726222,198.5925165,142.2966972,48.89673755,131.7840228,190.1864967,131.1939032,40.40150259,109.5047262,204.084713,157.8530171,82.39847669,217.0680631,192.7182425,139.1942534,200.3162068,222.2253785,13.34027998,78.14315581,53.3003688,51.2215284,256.5203814,246.3346856,108.1327818,72.83498331,97.97620521,132.8739347,137.3102772,197.4709293,141.8049552,112.3560731,82.56926601,85.83231984,238.9339238,95.38156211,63.32580146,197.3418753,48.0054358,121.5063435,224.0970982,223.5186219,131.0371373,109.4977324,85.41276249,165.5067885,168.9091679,171.3445964,167.3905409,174.7559569,90.9253734,214.1350191,270.2886627,144.256515,42.61691104,61.34535622,50.48065856,68.47948879,85.46956833,193.9881443,87.19853691,130.2216556,191.2987255,258.3124562,294.5146259,166.8151252,234.0464776,110.4107248,18.88235197,86.0204409,159.4821184,158.282013,128.7154378,137.0930499,162.2808312,36.87475835
Orange Hill M B Church,119.6830568,273.9571196,108.5839415,94.48666967,235.0885053,113.9343202,166.6487781,99.6692695,187.9089885,131.589199,59.66013624,135.1929422,179.4918815,127.6949924,43.80342756,112.8973322,193.4417261,161.2282054,93.18154232,220.4306576,196.0944937,128.5043121,203.6607233,225.5707794,16.75809989,67.42635752,47.52376068,47.78448516,245.8521226,249.6819293,111.5407576,83.6078974,101.3662846,136.2661542,126.578501,186.805777,145.1807916,111.3412625,85.95856758,75.10039841,228.2660302,84.68243783,66.71439421,186.6397005,37.26864955,124.8831272,213.4492785,212.8339652,120.3356974,98.76584963,84.95285662,154.7895874,158.2049337,160.6797171,170.7494142,178.1305163,94.29995786,203.4643405,259.6347975,133.5868451,46.03463999,60.04199686,47.03797404,71.88317576,88.8774493,197.3478771,83.72601525,119.5392758,180.646072,247.6649687,283.8660515,156.1624733,223.3870748,113.784283,29.6303725,82.56113538,162.8751153,147.585557,139.510859,126.3748935,151.6017488,26.14389009
Heritage Baptist Church,112.2177018,281.9039612,101.160188,102.1735457,243.0256809,146.4801517,174.457182,107.4075019,195.7152723,139.3131663,52.12810402,102.4005921,187.2600784,160.1781787,32.1433657,80.04898358,201.3872971,128.3200229,85.71706059,187.4791984,163.1899394,136.2886033,170.6472024,192.5602819,16.00361392,75.11841577,80.16499113,80.48015182,253.7108261,216.6777455,78.74518271,76.10854303,68.50926817,103.4164643,134.2190591,194.675197,112.2748441,109.2018261,53.09889011,82.7404917,236.1260012,96.14808122,55.69560777,194.3819198,44.89205361,91.98044449,221.37823,220.6363534,128.0804875,106.4060599,82.25754852,162.4802024,165.940097,168.5500939,137.7852077,145.2201641,77.41477035,211.314761,267.5429441,143.7565869,24.55958237,58.1910776,79.71427146,39.07290028,56.08156327,164.3866054,116.2998403,127.3495537,188.5584401,255.5950365,291.792358,176.1645116,231.2762222,80.87053212,46.16339289,115.1803395,130.0280781,155.3474518,132.0888004,134.0622456,159.4233329,48.6381344
First Church Of Deliverance,108.4850521,285.2406728,97.393325,105.7240351,246.3703385,129.5878671,177.9077342,110.9157569,199.1675697,142.8331552,48.45028457,119.4956109,190.7436973,143.3374091,28.45376285,97.19004898,204.7250469,145.5102939,81.98369086,204.7050604,180.3772293,139.7589824,187.9240974,209.8346922,1.066203625,78.66464129,63.19425351,63.46465058,257.120019,233.9469656,95.84285155,72.40385144,85.65746044,120.5586343,137.8076421,198.075572,129.4632761,112.8305526,70.24926951,86.3294531,239.5341502,95.93150625,51.96834813,197.8869028,48.49473716,109.1661904,224.7296491,224.0918565,131.5833511,109.9949269,85.88688571,166.0276216,169.4508805,171.9496799,155.0215486,162.4122204,78.58168057,214.7307623,270.9114768,144.8538857,30.34268701,61.81981428,62.71469776,56.18265474,73.17948633,181.6205348,99.38453383,130.7985609,191.9234945,258.9455405,295.1459583,167.439898,234.6603766,98.06537875,29.10389745,98.22771713,147.1680687,158.8362509,128.3205457,137.6123459,162.8630447,37.37358958
Community Health Clinic,167.598986,225.8006968,156.479109,70.71392445,186.9369243,53.49452081,118.5615032,51.61704852,139.8227631,83.54408573,107.6093697,195.7557913,131.4246711,67.28648108,104.3782781,173.4881631,145.2859723,221.8489084,141.0970452,281.0729583,256.713372,80.42908887,264.334032,286.2425703,77.30568911,38.52093781,12.96366754,59.05988508,197.739707,310.3505581,172.1052264,131.5408107,161.9614496,196.8576467,148.5499537,138.6880371,205.8003837,171.8791036,146.5550674,97.2155643,180.1529893,36.62296589,127.3121108,138.5854544,75.7659693,185.5010956,165.3018117,164.749674,72.28019471,120.8837636,145.4910798,127.731988,110.1542211,112.5615106,231.3980999,238.7522971,154.9216998,155.3560774,211.4976959,85.47685608,106.5823837,120.5798658,39.25749371,132.4550027,149.4420819,257.9950875,23.59857998,71.45108495,132.506897,199.5169301,235.7198747,108.0232971,175.2594724,174.4077842,77.60598107,22.08469626,223.4652731,99.52150538,187.4051696,102.2990178,103.5079012,44.56404685
Fulton Methodist Church Food Pantry,366.4223553,51.96236448,355.7269343,150.1144249,82.17029603,175.31912,76.77761866,144.4342581,55.53893963,112.6540312,305.7555515,170.5545306,64.32481784,128.7942412,285.8961817,249.6373814,131.739025,263.1131434,339.9303722,249.2839952,224.7195959,115.1540604,331.2445305,306.2380124,257.6407962,177.1233113,201.9577716,256.1244642,2.909569472,275.6139711,197.3034921,330.0190867,270.0122272,227.7500192,118.4729235,67.61847609,276.7734365,143.9133694,288.1216953,169.9532966,17.03342303,159.2794855,309.8455221,57.42910269,207.9451757,293.6238659,96.30269244,30.65287117,123.7051952,146.2877381,170.8629744,89.77793476,85.93097458,94.72345977,312.0232098,248.5534627,331.9820677,39.55650404,30.47173852,109.3966396,228.7239035,194.9220932,236.1254937,251.7051322,220.1693934,282.470896,172.2276828,123.8667812,113.8325639,62.92359606,41.57692418,138.3630173,49.28149819,316.1819744,275.2150643,215.3997626,198.6069176,96.29077496,386.6690566,118.2229954,91.69619265,218.8722929
Mantachie Methodist Parsonage,364.4129497,43.91348567,353.7006212,148.1940639,74.11766031,173.4399424,74.90625177,142.534701,53.66662836,110.7485664,303.7729731,168.5753717,62.43709823,126.9402887,283.9077227,247.6358028,123.6899679,261.0873555,337.9205203,247.2406187,222.6951467,113.2730673,329.1762712,304.1708966,255.6743739,175.2051546,200.0400035,254.1848221,9.988993117,273.5493136,195.3231222,328.0233421,268.007206,225.7478199,116.5336634,59.53856388,274.7486015,141.9544142,286.1156585,168.0140409,12.8127023,157.3858823,307.8385792,60.94905529,205.9992944,291.6004123,88.24681185,29.89988924,121.8082168,144.3484412,168.9038164,87.85885936,84.02994576,86.64404197,309.974877,246.5267453,329.9556916,37.70202581,22.40723021,107.5438701,226.7572418,192.9633187,234.1936326,249.7189973,218.1889797,280.4236539,170.3371385,121.996362,105.7700939,54.86802573,43.4009646,130.3006578,41.20943575,314.1541107,273.2537956,213.4909796,196.605691,94.40062553,384.6421619,116.3027058,89.83023038,216.9347008
First United Methodist Church Gautier Food Pantry,234.3552538,313.736253,181.0959954,239.2657453,335.1517302,362.5609611,283.2554183,283.5735344,259.8566701,237.8245937,241.3912485,115.5308709,232.0506317,375.7903004,207.1205385,138.3003051,384.7309104,90.47794133,207.0631203,33.25129812,57.76029185,298.6530633,48.93934634,27.00429529,233.7023509,271.4111686,296.9610914,297.6831228,284.8825701,6.983616856,139.2096378,232.6147669,149.904452,114.9435679,163.7575924,320.520056,106.5059336,138.9574598,165.3342476,213.1847578,269.9233174,312.4952876,184.5983552,224.6814446,234.7834193,126.7753206,349.2746186,251.3865764,269.1341268,189.5162743,165.3513318,192.3934929,221.8168195,347.6264732,81.43178214,73.59452292,157.4214059,285.9212499,299.0853093,359.3460508,204.4295527,190.2552227,296.7724901,178.990549,161.8748704,54.80922654,332.5909186,332.2806028,366.785188,315.8964482,323.4701482,391.3159521,302.2060706,137.9676304,263.7673579,331.8106295,88.3129463,258.1376944,210.199846,207.6774205,310.8389075,265.8018053
The Salvation Army MS Gulf Coast – Jackson County – Food Pantry,243.0599874,313.3735658,189.8256682,247.8390241,343.5760423,371.0734936,291.7563842,292.1161189,268.3590198,246.3758801,250.0563805,124.1909038,240.5757173,384.2655986,215.7943381,146.9934458,393.1499625,99.20680405,215.7685019,40.39877867,64.30882628,307.1682476,57.73089409,35.79414673,242.3436284,279.9812068,305.530567,306.2848914,278.6902467,11.62654648,147.8714679,241.2993323,158.6026797,123.6376158,170.4490048,328.9846313,115.2333957,147.5876746,174.0339806,221.7859203,278.3937751,321.0290948,193.2994334,218.4197735,243.3943725,135.5007511,357.7037279,245.1607512,277.6728978,198.1174877,173.981857,190.7873674,230.3615498,356.090331,90.19392452,82.3247513,166.1511627,294.3972833,292.9224829,367.819595,213.0711718,198.8851919,305.3627711,187.6609062,170.5367745,63.56974871,341.1202186,340.7801916,375.2240338,324.3250839,317.318047,399.754646,310.6590485,146.6995758,272.4010396,340.3668553,97.0055477,266.6663788,218.9303887,216.2505804,319.3319067,274.400534
The Lord Is My Help Food Kitchen,222.9458364,321.6595889,169.654116,228.0275791,324.1075817,351.4018634,272.1114358,272.3753313,248.7108984,226.6150799,230.0334181,120.030353,225.8166555,364.6797029,195.7514343,126.90604,373.6935843,79.03716305,195.6528728,41.61229669,66.08491085,287.4905482,40.22750583,15.48409424,222.375601,260.1772062,285.7278477,286.4078086,292.8743527,15.38551731,127.8561627,221.2316242,138.5035537,103.5481329,171.9184735,309.4234611,95.06697196,146.5735371,153.9313802,201.9102796,275.2985665,301.3085028,173.1937254,232.7635448,223.4961743,115.3389953,338.2242116,259.421994,257.9409,178.2417428,154.0386264,200.5155732,210.615856,336.5307969,69.94765285,62.15197398,145.9794291,274.809748,307.0386818,348.2377481,193.1023733,178.9432283,285.5121417,167.625944,150.521287,43.32722109,321.4099939,321.1383855,355.7220857,304.8466787,331.409543,380.2530326,291.1245961,126.5228122,252.4504871,320.5946274,92.08498015,246.9576148,198.7568187,196.4394269,299.7052878,254.5304689
American Red Cross Jackson County,242.3079869,312.6752483,189.068985,247.1116989,342.876682,370.3575745,291.042634,291.3945565,267.6450091,245.652683,249.3118138,123.4472908,239.8574381,383.5566691,215.0481435,146.2436189,392.4515911,98.45027056,215.0163791,39.63737382,63.55266541,306.4518289,56.96259306,35.02616357,241.6035392,279.2544908,304.8039574,305.5522201,280.7348583,10.85924563,147.1275182,240.5511175,157.8518982,122.887618,169.7164463,328.2777129,114.4771256,146.8496593,173.2829169,221.0533604,277.685751,320.3091808,192.5481177,220.4774036,242.6599754,134.7448628,357.0034675,247.2116519,276.9520509,197.3849176,173.2437842,190.0604014,229.6395829,355.3835481,89.43114394,81.56796103,165.3944631,293.6882131,294.9615568,367.1109943,212.3310177,198.1472242,304.6322561,186.915357,169.7928115,62.80727158,340.4011513,340.0667013,374.5219464,323.6249114,319.355108,399.0525879,309.9543064,145.9424649,271.662377,339.6427338,96.25582068,265.9474248,218.1735429,215.5232766,318.6196526,273.6684324
First Baptist Church,242.0191974,312.3887384,188.7799967,246.8239573,342.5901278,370.0703172,290.7554687,291.1070595,267.3578328,245.3651166,249.02334,123.1588575,239.5700806,383.2697085,214.7596006,145.9549217,392.1650789,98.16128861,214.7275844,39.34818503,63.26369929,306.1645503,56.67311142,34.73669543,241.3152555,278.966775,304.5162461,305.2642514,280.5648221,10.56980647,146.8390706,240.2624888,157.5631605,122.5989135,169.4284824,327.9908377,114.1881548,146.5614637,172.9941672,220.7653965,277.3988289,320.0217538,192.2593573,220.3079202,242.3719334,134.4559082,356.7168751,247.0418827,276.6645843,197.0969532,172.9555861,189.772675,229.3520687,355.0966787,89.14189671,81.27896819,165.105474,293.4012466,294.7912854,366.8240477,212.0427312,197.8590306,304.344379,186.6268415,169.5043634,62.51803725,340.1137603,339.779547,374.2352764,323.3383227,319.1847512,398.7659191,309.6675237,145.6534584,271.3741539,339.3551281,95.96712777,265.6600386,217.8845477,215.2355358,318.3325509,273.3804879
Fayette Helping Hand,33.04807194,359.3000882,52.22323088,180.5271073,320.4575922,154.0679545,252.3632401,185.572089,273.6290149,217.5300681,26.79592547,161.8827528,265.3139957,199.8195775,46.83327585,94.32915396,278.788558,142.8204021,25.80093657,202.1387434,177.6767894,214.2835812,185.5354667,207.43731,74.41423813,153.4530519,128.6086587,75.11342951,331.4313878,231.5314057,135.1727013,2.935827656,82.82142696,117.7014647,212.7428701,272.3566591,126.7670639,187.905372,67.42092584,161.2662757,313.8419971,170.5463868,48.18334437,272.5313769,123.4794326,106.4607312,298.840521,298.5642929,206.2208383,184.9312927,160.9639705,240.8196938,244.1156657,246.2281806,152.491942,159.7284582,75.89792198,289.0660322,345.0815177,219.1795021,103.3363044,136.8949415,94.87350449,80.9509397,112.3098089,179.0824063,157.5058958,205.2489732,266.0819277,333.0530266,369.2639806,241.5984041,308.8849008,95.3916464,56.68403934,114.8936031,144.3031786,233.4247267,52.75978601,212.41389,237.2809814,112.3002351
Fayette Helping Hands 2,34.03339157,358.3196279,52.95205359,179.5440241,319.4770331,153.08589,251.3813825,184.5895229,272.6471367,216.5473595,25.81127878,160.8982074,264.3317338,198.838145,45.8484856,95.05860305,277.8080818,143.5492485,26.53016966,202.8671547,178.4056735,213.3014796,186.2632508,208.1651253,73.42999823,152.4700199,127.6256332,74.12985435,330.4500393,232.2592854,134.1881225,1.950851327,83.55078818,118.430901,211.7593217,271.3754163,127.4959324,186.9213314,68.15025971,160.2827209,312.8606607,169.5639665,48.9126532,271.5488539,122.4957086,107.189632,297.8598783,297.5823764,205.2383388,183.9477399,159.9799216,239.8366503,243.1330707,245.2469465,153.220223,160.4572832,76.62674585,288.0845988,344.1006673,218.1981016,102.3520621,135.9108991,93.89012492,79.96621123,111.3252263,179.8107177,156.5235497,204.2671328,265.1011169,332.0723964,368.2833139,240.6175927,307.9038579,96.12043516,55.69992517,113.9107988,145.0326425,232.4424004,53.74554199,211.4308126,236.2992559,111.3167155
Jefferson Comprehensive Health Center,33.98796528,358.3702123,52.63435216,179.5918243,319.5275127,153.1347716,251.4304838,184.637872,272.6962161,216.5955574,25.85741938,160.9444554,264.380406,198.8876975,45.89447381,94.74156651,277.8586495,143.2315722,26.21290386,202.5490164,178.0880372,213.3503218,185.9444468,207.8463544,73.47657064,152.5178746,127.6734947,74.1771324,330.499681,231.9405829,134.2343352,1.996642023,83.23365836,118.1138509,211.8066282,271.4251702,127.1782796,186.9681155,67.83310087,160.3300207,312.9103152,169.6124703,48.59546778,271.5972488,122.5428287,106.8720135,297.9102692,297.6314151,205.2867587,183.9950417,160.0266967,239.8844926,243.1813891,245.2967097,152.9019466,160.1395842,76.30904565,288.1341504,344.1508377,218.2476881,102.398632,135.9576812,93.93761059,80.01226503,111.3714349,179.4924736,156.5721323,204.3162523,265.1513294,332.1228006,368.3336793,240.6678045,307.9538239,95.80269769,55.74663106,113.9588951,144.7156216,232.491004,53.7005789,211.4786191,236.3484974,111.3640525
Pine Grove Baptist Church,27.99268582,364.319964,49.04224986,185.5661501,325.4781895,159.0995535,257.3933264,190.6073534,278.6592515,222.5663736,31.84639393,166.9324812,270.3470358,204.8465575,51.88479332,91.14359531,283.8085492,139.6392475,22.61695657,198.9607691,174.4953593,219.3154508,182.3620754,204.2636909,79.46173381,158.4917203,133.6472801,80.15606753,336.4577537,228.3573156,140.2226732,7.988705006,79.63651053,114.5159997,217.7853117,277.3822525,123.585748,192.9514104,64.23620928,166.3087642,318.8682744,175.5805858,44.9988109,277.5663259,128.5231578,103.2791789,303.861729,303.5948095,211.2556151,189.9737668,166.0100702,245.8584466,249.151141,251.2537106,149.3149191,156.5474599,72.71693234,294.0930186,350.1042433,224.2062484,108.3838176,141.9409934,99.91471318,86.00200554,117.359809,175.9051611,162.5395526,210.2789339,271.1043642,338.0741432,374.2853639,246.6208455,313.9090335,92.21091328,61.73061625,119.930608,141.1175117,238.4582386,47.70121117,217.4528898,242.3101022,117.3424671
Christian Food Mission,146.5490137,250.1370084,135.7138511,122.3570405,218.7828379,245.8721101,166.6087636,166.7759791,163.1993324,120.995633,124.1495123,49.06778809,154.5409011,259.2364056,89.8474783,29.82930606,268.3809203,43.10482968,120.0534654,85.92228976,61.88309564,181.9548056,110.8847301,90.68901404,116.547123,154.5141127,180.0659952,180.6709428,221.4737315,114.8397209,22.32896916,115.3026004,50.1755902,7.936914994,100.8192327,204.0052242,56.77293869,75.54176246,68.27657599,96.17503506,203.8960091,195.7294635,89.99280869,161.5238887,117.7381326,73.6347123,232.888284,188.0991473,152.3504442,73.00486242,48.59396879,129.3471784,133.0449027,231.1141523,91.82825917,43.88274283,111.9685728,179.034235,235.5696245,242.7985701,87.27317377,73.14112533,179.8019616,61.7300517,44.64507163,62.77782166,215.8413711,215.6387806,250.363491,223.7390163,259.9155484,274.8947221,199.2021358,96.15625258,146.6395783,214.9634618,29.02793712,141.3906191,166.6510221,100.9123038,194.2210482,148.8007451
New Covenant Church,132.7332181,263.6498933,121.8717216,120.3003174,224.7267035,243.8795252,164.6285876,164.7516995,176.8007242,120.0118735,121.9954573,62.83601588,168.1663342,257.2832498,87.68429883,18.77376692,266.48735,29.26370867,106.2370294,88.17101112,64.10225618,179.9595328,96.97725576,92.97486212,114.4183567,152.4607644,178.0131959,178.5839248,235.0422148,117.1216758,36.09914253,113.1279702,36.36683077,5.867356262,114.5251414,202.0635398,42.93327526,89.27843313,54.46619543,94.08881208,217.4636225,193.7144304,76.18097018,175.1657675,115.6414962,59.79716791,230.9841272,201.7030967,150.3302327,86.71089082,62.33101512,143.0215537,146.6911348,229.173175,77.95189,46.1054888,98.12639366,192.6077885,249.1069108,240.8473051,85.14409704,71.0244183,177.7271171,59.57056817,42.49457482,65.03263685,213.8310759,213.6599695,248.448981,237.2623986,273.4414529,272.980324,212.751288,82.31178671,144.5188071,212.9246372,35.00069897,139.3811172,152.8079227,114.588637,192.2492615,146.717006
Grace Covenant Church,138.6102145,257.9408095,127.7633134,123.2215291,219.7176021,246.7651889,167.5073683,167.6549287,171.0425795,121.8705088,124.9706243,56.98539399,162.3948638,260.147057,90.66452218,21.89604897,269.3181269,35.15473718,112.1143794,85.1433766,61.09100738,182.8466831,102.9050648,89.92664692,117.3795047,155.380107,180.9322355,181.5219333,229.3023133,114.0756198,30.24744097,116.1145424,42.23992271,1.595088795,108.7090634,204.9209849,48.82349652,83.44530358,60.34018676,97.02637556,211.7242022,196.6125355,82.05577062,169.3851822,118.5848334,65.68621544,233.8207707,195.9435357,153.2312061,80.89474509,56.49767602,137.222955,140.9081351,232.0302297,83.8624576,43.09225161,104.0180118,186.8650744,243.3843014,243.7100633,88.10541572,73.97887923,180.6583773,62.54874135,45.46776546,62.00162321,216.7265556,216.5379962,251.2913647,231.547495,267.7251534,275.822647,207.0220997,88.20467162,147.4755246,215.8359319,29.13097264,142.2761532,158.7000535,108.7889517,195.1233931,149.6531952
